umap_kmeans,umap_kmeans_cluster,umap_dbscan,umap_dbscan_cluster,umap_hdbscan,umap_hdbscan_cluster,tsne_kmeans,tsne_kmeans_cluster,tsne_dbscan,tsne_dbscan_cluster,tsne_hdbscan,tsne_hdbscan_cluster
0.5922083,3,0.72824043,12,0.7310163,15,0.4309411,3,999.0,0,0.49153784,14
0.3504767,3,0.30581293,82,0.42353204,46,0.3611013,3,0.8561380505561829,281,0.5342653,57
0.5804712,3,-0.11139541,27,0.34343618,28,0.38402706,3,0.9073944687843323,148,0.33197603,38
0.5281697,3,0.6758758,19,0.6091054,29,0.38372087,3,999.0,0,0.5473813,30
0.58196664,3,0.72864383,11,0.65647274,21,0.4488865,4,999.0,0,0.5110965,15
0.52696276,2,0.5335492,2,0.5335492,2,0.42973745,3,999.0,1,0.16857345,30
0.50040364,3,0.7595683,14,0.6324962,30,0.40538058,3,999.0,0,0.5141634,33
0.48708043,3,0.5916701,15,0.5933235,46,0.38332227,3,999.0,0,0.43870252,44
